Customer Name,Customer Name (Orders$1),Customer Segment,Customer Segment (Orders$1),Order Date,Order Date (Orders$1),Order ID,Order ID (Orders$1),Order Priority,Order Priority (Orders$1),Product Category,Product Category (Orders$1),Product Container,Product Container (Orders$1),Product Name,Product Name (Orders$1),Product Sub-Category,Product Sub-Category (Orders$1),Province,Province (Orders$1),Region,Region (Orders$1),Row ID,Row ID (Orders$1),Ship Date,Ship Date (Orders$1),Ship Mode,Ship Mode (Orders$1),Antecedent All Order IDs,Co-occurance Order IDs,Consequent All Order IDs,Discount,Discount (Orders$1),Donut,Number of Records,One,Order Quantity,Order Quantity (Orders$1),Product Base Margin,Product Base Margin (Orders$1),Profit,Profit (Orders$1),Sales,Sales (Orders$1),Shipping Cost,Shipping Cost (Orders$1),Unit Price,Unit Price (Orders$1)
Andy Reiter,Andy Reiter,Corporate,Corporate,1/3/2009 12:00:00 AM,1/3/2009 12:00:00 AM,9637,9637,Low,Low,Technology,Office Supplies,Small Box,Wrap Bag,"Fellowes Mobile Numeric Keypad, Graphite","Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Computer Peripherals,Paper,Saskachewan,Saskachewan,Prarie,Prarie,1315,1317,1/5/2009 12:00:00 AM,1/7/2009 12:00:00 AM,Regular Air,Regular Air,,,,0.08,0.04,0,1,1,12,12,0.66,0.36,-236.43,32.44,522.49,123.76,16.71,2.27,43.22,10.14
Andy Reiter,Andy Reiter,Corporate,Corporate,1/3/2009 12:00:00 AM,1/3/2009 12:00:00 AM,9637,9637,Low,Low,Technology,Office Supplies,Large Box,Wrap Bag,Polycom ViaVideo™ Desktop Video Communications Unit,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Office Machines,Paper,Saskachewan,Saskachewan,Prarie,Prarie,1316,1317,1/10/2009 12:00:00 AM,1/7/2009 12:00:00 AM,Regular Air,Regular Air,,,,0.05,0.04,0,1,1,49,12,0.37,0.36,14440.39,32.44,28359.4,123.76,24.49,2.27,574.74,10.14
Andy Reiter,Andy Reiter,Corporate,Corporate,1/3/2009 12:00:00 AM,1/3/2009 12:00:00 AM,9637,9637,Low,Low,Technology,Technology,Small Box,Large Box,"Fellowes Mobile Numeric Keypad, Graphite",Polycom ViaVideo™ Desktop Video Communications Unit,Computer Peripherals,Office Machines,Saskachewan,Saskachewan,Prarie,Prarie,1315,1316,1/5/2009 12:00:00 AM,1/10/2009 12:00:00 AM,Regular Air,Regular Air,,,,0.08,0.05,0,1,1,12,49,0.66,0.37,-236.43,14440.39,522.49,28359.4,16.71,24.49,43.22,574.74
Andy Reiter,Andy Reiter,Corporate,Corporate,1/3/2009 12:00:00 AM,1/3/2009 12:00:00 AM,9637,9637,Low,Low,Office Supplies,Technology,Wrap Bag,Large Box,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Polycom ViaVideo™ Desktop Video Communications Unit,Paper,Office Machines,Saskachewan,Saskachewan,Prarie,Prarie,1317,1316,1/7/2009 12:00:00 AM,1/10/2009 12:00:00 AM,Regular Air,Regular Air,,,,0.04,0.05,0,1,1,12,49,0.36,0.37,32.44,14440.39,123.76,28359.4,2.27,24.49,10.14,574.74
Tamara Dahlen,Tamara Dahlen,Corporate,Corporate,1/4/2009 12:00:00 AM,1/4/2009 12:00:00 AM,8710,8710,Critical,Critical,Office Supplies,Office Supplies,Wrap Bag,Small Box,"""While you Were Out"" Message Book, One Form per Page",Cardinal Poly Pocket Divider Pockets for Ring Binders,Paper,Binders and Binder Accessories,Ontario,Ontario,Ontario,Ontario,1194,1193,1/6/2009 12:00:00 AM,1/5/2009 12:00:00 AM,Express Air,Regular Air,,,8710,0.07,0.03,0,1,1,42,17,0.35,0.4,8.33,-76.015,151.35,63.34,1.93,6.27,3.71,3.36
Tamara Dahlen,Tamara Dahlen,Corporate,Corporate,1/4/2009 12:00:00 AM,1/4/2009 12:00:00 AM,8710,8710,Critical,Critical,Office Supplies,Office Supplies,Small Box,Wrap Bag,Cardinal Poly Pocket Divider Pockets for Ring Binders,"""While you Were Out"" Message Book, One Form per Page",Binders and Binder Accessories,Paper,Ontario,Ontario,Ontario,Ontario,1193,1194,1/5/2009 12:00:00 AM,1/6/2009 12:00:00 AM,Regular Air,Express Air,,,,0.03,0.07,0,1,1,17,42,0.4,0.35,-76.015,8.33,63.34,151.35,6.27,1.93,3.36,3.71
Darren Budd,Darren Budd,Consumer,Consumer,1/5/2009 12:00:00 AM,1/5/2009 12:00:00 AM,57253,57253,Critical,Critical,Technology,Furniture,Small Box,Large Box,232,Telescoping Adjustable Floor Lamp,Telephones and Communication,Office Furnishings,Ontario,Ontario,Ontario,Ontario,8015,8013,1/5/2009 12:00:00 AM,1/5/2009 12:00:00 AM,Regular Air,Regular Air,,,,0.04,0.07,0,1,1,25,48,0.55,0.6,667.449,-335.24,2750.107,12635.75,5.26,35,125.99,279.48
Darren Budd,Darren Budd,Consumer,Consumer,1/5/2009 12:00:00 AM,1/5/2009 12:00:00 AM,57253,57253,Critical,Critical,Furniture,Technology,Large Box,Small Box,Telescoping Adjustable Floor Lamp,232,Office Furnishings,Telephones and Communication,Ontario,Ontario,Ontario,Ontario,8013,8015,1/5/2009 12:00:00 AM,1/5/2009 12:00:00 AM,Regular Air,Regular Air,,,,0.07,0.04,0,1,1,48,25,0.6,0.55,-335.24,667.449,12635.75,2750.107,35,5.26,279.48,125.99
Darren Budd,Darren Budd,Consumer,Consumer,1/5/2009 12:00:00 AM,1/5/2009 12:00:00 AM,57253,57253,Critical,Critical,Furniture,Furniture,Jumbo Box,Large Box,"Iceberg OfficeWorks 42"" Round Tables",Telescoping Adjustable Floor Lamp,Tables,Office Furnishings,Ontario,Ontario,Ontario,Ontario,8014,8013,1/6/2009 12:00:00 AM,1/5/2009 12:00:00 AM,Regular Air,Regular Air,,,,0.08,0.07,0,1,1,49,48,0.7,0.6,-139.15575,-335.24,240.3,12635.75,5.68,35,4.91,279.48
Darren Budd,Darren Budd,Consumer,Consumer,1/5/2009 12:00:00 AM,1/5/2009 12:00:00 AM,57253,57253,Critical,Critical,Furniture,Furniture,Jumbo Drum,Large Box,"Metal Folding Chairs, Beige, 4/Carton",Telescoping Adjustable Floor Lamp,Chairs & Chairmats,Office Furnishings,Ontario,Ontario,Ontario,Ontario,8011,8013,1/6/2009 12:00:00 AM,1/5/2009 12:00:00 AM,Regular Air,Regular Air,,,,0.08,0.07,0,1,1,43,48,0.58,0.6,1.74,-335.24,78.08,12635.75,0.75,35,1.81,279.48
Darren Budd,Darren Budd,Consumer,Consumer,1/5/2009 12:00:00 AM,1/5/2009 12:00:00 AM,57253,57253,Critical,Critical,Furniture,Technology,Jumbo Box,Small Box,"Iceberg OfficeWorks 42"" Round Tables",232,Tables,Telephones and Communication,Ontario,Ontario,Ontario,Ontario,8014,8015,1/6/2009 12:00:00 AM,1/5/2009 12:00:00 AM,Regular Air,Regular Air,,,,0.08,0.04,0,1,1,49,25,0.7,0.55,-139.15575,667.449,240.3,2750.107,5.68,5.26,4.91,125.99
Darren Budd,Darren Budd,Consumer,Consumer,1/5/2009 12:00:00 AM,1/5/2009 12:00:00 AM,57253,57253,Critical,Critical,Furniture,Technology,Jumbo Drum,Small Box,"Metal Folding Chairs, Beige, 4/Carton",232,Chairs & Chairmats,Telephones and Communication,Ontario,Ontario,Ontario,Ontario,8011,8015,1/6/2009 12:00:00 AM,1/5/2009 12:00:00 AM,Regular Air,Regular Air,,,,0.08,0.04,0,1,1,43,25,0.58,0.55,1.74,667.449,78.08,2750.107,0.75,5.26,1.81,125.99
Darren Budd,Darren Budd,Consumer,Consumer,1/5/2009 12:00:00 AM,1/5/2009 12:00:00 AM,57253,57253,Critical,Critical,Furniture,Furniture,Jumbo Drum,Large Box,Hon 4700 Series Mobuis™ Mid-Back Task Chairs with Adjustable Arms,Telescoping Adjustable Floor Lamp,Chairs & Chairmats,Office Furnishings,Ontario,Ontario,Ontario,Ontario,8012,8013,1/7/2009 12:00:00 AM,1/5/2009 12:00:00 AM,Delivery Truck,Regular Air,,,,0.06,0.07,0,1,1,29,48,0.64,0.6,-1358.9,-335.24,653.54,12635.75,53.03,35,20.98,279.48
Darren Budd,Darren Budd,Consumer,Consumer,1/5/2009 12:00:00 AM,1/5/2009 12:00:00 AM,57253,57253,Critical,Critical,Furniture,Technology,Jumbo Drum,Small Box,Hon 4700 Series Mobuis™ Mid-Back Task Chairs with Adjustable Arms,232,Chairs & Chairmats,Telephones and Communication,Ontario,Ontario,Ontario,Ontario,8012,8015,1/7/2009 12:00:00 AM,1/5/2009 12:00:00 AM,Delivery Truck,Regular Air,,,,0.06,0.04,0,1,1,29,25,0.64,0.55,-1358.9,667.449,653.54,2750.107,53.03,5.26,20.98,125.99
Darren Budd,Darren Budd,Consumer,Consumer,1/5/2009 12:00:00 AM,1/5/2009 12:00:00 AM,57253,57253,Critical,Critical,Furniture,Furniture,Large Box,Jumbo Box,Telescoping Adjustable Floor Lamp,"Iceberg OfficeWorks 42"" Round Tables",Office Furnishings,Tables,Ontario,Ontario,Ontario,Ontario,8013,8014,1/5/2009 12:00:00 AM,1/6/2009 12:00:00 AM,Regular Air,Regular Air,,,,0.07,0.08,0,1,1,48,49,0.6,0.7,-335.24,-139.15575,12635.75,240.3,35,5.68,279.48,4.91
Darren Budd,Darren Budd,Consumer,Consumer,1/5/2009 12:00:00 AM,1/5/2009 12:00:00 AM,57253,57253,Critical,Critical,Furniture,Furniture,Large Box,Jumbo Drum,Telescoping Adjustable Floor Lamp,"Metal Folding Chairs, Beige, 4/Carton",Office Furnishings,Chairs & Chairmats,Ontario,Ontario,Ontario,Ontario,8013,8011,1/5/2009 12:00:00 AM,1/6/2009 12:00:00 AM,Regular Air,Regular Air,,,,0.07,0.08,0,1,1,48,43,0.6,0.58,-335.24,1.74,12635.75,78.08,35,0.75,279.48,1.81
Darren Budd,Darren Budd,Consumer,Consumer,1/5/2009 12:00:00 AM,1/5/2009 12:00:00 AM,57253,57253,Critical,Critical,Technology,Furniture,Small Box,Jumbo Box,232,"Iceberg OfficeWorks 42"" Round Tables",Telephones and Communication,Tables,Ontario,Ontario,Ontario,Ontario,8015,8014,1/5/2009 12:00:00 AM,1/6/2009 12:00:00 AM,Regular Air,Regular Air,,,,0.04,0.08,0,1,1,25,49,0.55,0.7,667.449,-139.15575,2750.107,240.3,5.26,5.68,125.99,4.91
Darren Budd,Darren Budd,Consumer,Consumer,1/5/2009 12:00:00 AM,1/5/2009 12:00:00 AM,57253,57253,Critical,Critical,Technology,Furniture,Small Box,Jumbo Drum,232,"Metal Folding Chairs, Beige, 4/Carton",Telephones and Communication,Chairs & Chairmats,Ontario,Ontario,Ontario,Ontario,8015,8011,1/5/2009 12:00:00 AM,1/6/2009 12:00:00 AM,Regular Air,Regular Air,,,,0.04,0.08,0,1,1,25,43,0.55,0.58,667.449,1.74,2750.107,78.08,5.26,0.75,125.99,1.81
Darren Budd,Darren Budd,Consumer,Consumer,1/5/2009 12:00:00 AM,1/5/2009 12:00:00 AM,57253,57253,Critical,Critical,Furniture,Furniture,Jumbo Drum,Jumbo Box,"Metal Folding Chairs, Beige, 4/Carton","Iceberg OfficeWorks 42"" Round Tables",Chairs & Chairmats,Tables,Ontario,Ontario,Ontario,Ontario,8011,8014,1/6/2009 12:00:00 AM,1/6/2009 12:00:00 AM,Regular Air,Regular Air,,,,0.08,0.08,0,1,1,43,49,0.58,0.7,1.74,-139.15575,78.08,240.3,0.75,5.68,1.81,4.91
Darren Budd,Darren Budd,Consumer,Consumer,1/5/2009 12:00:00 AM,1/5/2009 12:00:00 AM,57253,57253,Critical,Critical,Furniture,Furniture,Jumbo Box,Jumbo Drum,"Iceberg OfficeWorks 42"" Round Tables","Metal Folding Chairs, Beige, 4/Carton",Tables,Chairs & Chairmats,Ontario,Ontario,Ontario,Ontario,8014,8011,1/6/2009 12:00:00 AM,1/6/2009 12:00:00 AM,Regular Air,Regular Air,,,,0.08,0.08,0,1,1,49,43,0.7,0.58,-139.15575,1.74,240.3,78.08,5.68,0.75,4.91,1.81
Darren Budd,Darren Budd,Consumer,Consumer,1/5/2009 12:00:00 AM,1/5/2009 12:00:00 AM,57253,57253,Critical,Critical,Furniture,Furniture,Jumbo Drum,Jumbo Box,Hon 4700 Series Mobuis™ Mid-Back Task Chairs with Adjustable Arms,"Iceberg OfficeWorks 42"" Round Tables",Chairs & Chairmats,Tables,Ontario,Ontario,Ontario,Ontario,8012,8014,1/7/2009 12:00:00 AM,1/6/2009 12:00:00 AM,Delivery Truck,Regular Air,,,,0.06,0.08,0,1,1,29,49,0.64,0.7,-1358.9,-139.15575,653.54,240.3,53.03,5.68,20.98,4.91
Pauline Chand,Pauline Chand,Small Business,Small Business,1/5/2009 12:00:00 AM,1/5/2009 12:00:00 AM,28451,28451,Critical,Critical,Technology,Furniture,Jumbo Drum,Large Box,Panasonic KX-P1150 Dot Matrix Printer,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,Office Machines,Office Furnishings,Ontario,Ontario,Ontario,Ontario,3983,3982,1/7/2009 12:00:00 AM,1/6/2009 12:00:00 AM,Delivery Truck,Regular Air,,,,0,0.02,0,1,1,33,41,0.56,0.59,1054.93,2593.14,4913.7,8958.46,17.85,21.21,145.45,209.84
Matt Collins,Matt Collins,Consumer,Consumer,1/5/2009 12:00:00 AM,1/5/2009 12:00:00 AM,1028,1028,High,High,Technology,Technology,Small Box,Small Pack,3285,"Memorex 4.7GB DVD+RW, 3/Pack",Telephones and Communication,Computer Peripherals,British Columbia,British Columbia,West,West,165,164,1/7/2009 12:00:00 AM,1/6/2009 12:00:00 AM,Regular Air,Regular Air,,,,0.01,0.03,0,1,1,11,6,0.59,0.4,-60.39,-28.46,2021.147,165.75,5.99,1.99,205.99,28.48
Darren Budd,Darren Budd,Consumer,Consumer,1/5/2009 12:00:00 AM,1/5/2009 12:00:00 AM,57253,57253,Critical,Critical,Furniture,Furniture,Large Box,Jumbo Drum,Telescoping Adjustable Floor Lamp,Hon 4700 Series Mobuis™ Mid-Back Task Chairs with Adjustable Arms,Office Furnishings,Chairs & Chairmats,Ontario,Ontario,Ontario,Ontario,8013,8012,1/5/2009 12:00:00 AM,1/7/2009 12:00:00 AM,Regular Air,Delivery Truck,,,,0.07,0.06,0,1,1,48,29,0.6,0.64,-335.24,-1358.9,12635.75,653.54,35,53.03,279.48,20.98
Darren Budd,Darren Budd,Consumer,Consumer,1/5/2009 12:00:00 AM,1/5/2009 12:00:00 AM,57253,57253,Critical,Critical,Technology,Furniture,Small Box,Jumbo Drum,232,Hon 4700 Series Mobuis™ Mid-Back Task Chairs with Adjustable Arms,Telephones and Communication,Chairs & Chairmats,Ontario,Ontario,Ontario,Ontario,8015,8012,1/5/2009 12:00:00 AM,1/7/2009 12:00:00 AM,Regular Air,Delivery Truck,,,,0.04,0.06,0,1,1,25,29,0.55,0.64,667.449,-1358.9,2750.107,653.54,5.26,53.03,125.99,20.98
Darren Budd,Darren Budd,Consumer,Consumer,1/5/2009 12:00:00 AM,1/5/2009 12:00:00 AM,57253,57253,Critical,Critical,Furniture,Furniture,Jumbo Box,Jumbo Drum,"Iceberg OfficeWorks 42"" Round Tables",Hon 4700 Series Mobuis™ Mid-Back Task Chairs with Adjustable Arms,Tables,Chairs & Chairmats,Ontario,Ontario,Ontario,Ontario,8014,8012,1/6/2009 12:00:00 AM,1/7/2009 12:00:00 AM,Regular Air,Delivery Truck,,,,0.08,0.06,0,1,1,49,29,0.7,0.64,-139.15575,-1358.9,240.3,653.54,5.68,53.03,4.91,20.98
Pauline Chand,Pauline Chand,Small Business,Small Business,1/5/2009 12:00:00 AM,1/5/2009 12:00:00 AM,28451,28451,Critical,Critical,Furniture,Technology,Large Box,Jumbo Drum,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,Panasonic KX-P1150 Dot Matrix Printer,Office Furnishings,Office Machines,Ontario,Ontario,Ontario,Ontario,3982,3983,1/6/2009 12:00:00 AM,1/7/2009 12:00:00 AM,Regular Air,Delivery Truck,,,,0.02,0,0,1,1,41,33,0.59,0.56,2593.14,1054.93,8958.46,4913.7,21.21,17.85,209.84,145.45
Matt Collins,Matt Collins,Consumer,Consumer,1/5/2009 12:00:00 AM,1/5/2009 12:00:00 AM,1028,1028,High,High,Technology,Technology,Small Pack,Small Box,"Memorex 4.7GB DVD+RW, 3/Pack",3285,Computer Peripherals,Telephones and Communication,British Columbia,British Columbia,West,West,164,165,1/6/2009 12:00:00 AM,1/7/2009 12:00:00 AM,Regular Air,Regular Air,,,,0.03,0.01,0,1,1,6,11,0.4,0.59,-28.46,-60.39,165.75,2021.147,1.99,5.99,28.48,205.99
Pauline Chand,Pauline Chand,Small Business,Small Business,1/5/2009 12:00:00 AM,1/5/2009 12:00:00 AM,28451,28451,Critical,Critical,Technology,Furniture,Jumbo Drum,Large Box,Panasonic KX-P1150 Dot Matrix Printer,Electrix Halogen Magnifier Lamp,Office Machines,Office Furnishings,Ontario,Ontario,Ontario,Ontario,3983,3981,1/7/2009 12:00:00 AM,1/7/2009 12:00:00 AM,Delivery Truck,Regular Air,,,,0,0.01,0,1,1,33,21,0.56,0.59,1054.93,1162.76,4913.7,4201.08,17.85,11.54,145.45,194.3
Pauline Chand,Pauline Chand,Small Business,Small Business,1/5/2009 12:00:00 AM,1/5/2009 12:00:00 AM,28451,28451,Critical,Critical,Furniture,Technology,Large Box,Jumbo Drum,Electrix Halogen Magnifier Lamp,Panasonic KX-P1150 Dot Matrix Printer,Office Furnishings,Office Machines,Ontario,Ontario,Ontario,Ontario,3981,3983,1/7/2009 12:00:00 AM,1/7/2009 12:00:00 AM,Regular Air,Delivery Truck,,,,0.01,0,0,1,1,21,33,0.59,0.56,1162.76,1054.93,4201.08,4913.7,11.54,17.85,194.3,145.45
Julia Barnett,Julia West,Home Office,Home Office,1/6/2009 12:00:00 AM,1/6/2009 12:00:00 AM,23488,23488,High,Critical,Office Supplies,Furniture,Wrap Bag,Jumbo Box,Newell 342,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Pens & Art Supplies,Bookcases,Yukon,Northwest Territories,Yukon,Northwest Territories,3283,3284,1/8/2009 12:00:00 AM,1/7/2009 12:00:00 AM,Regular Air,Delivery Truck,,,,0.03,0.04,0,1,1,29,30,0.56,0.62,-73.19,-11053.6,101.77,26133.39,3.97,44.55,3.28,880.98
Craig Leslie,Craig Leslie,Consumer,Consumer,1/6/2009 12:00:00 AM,1/6/2009 12:00:00 AM,14274,14274,Not Specified,Not Specified,Furniture,Technology,Jumbo Drum,Small Box,Novimex Swivel Fabric Task Chair,Accessory35,Chairs & Chairmats,Telephones and Communication,Saskachewan,Saskachewan,Prarie,Prarie,2001,2003,1/8/2009 12:00:00 AM,1/7/2009 12:00:00 AM,Delivery Truck,Regular Air,,,,0.01,0.03,0,1,1,23,2,0.74,0.55,112.44,-164.043,3674.08,61.7185,30,1.1,150.98,35.99
Craig Leslie,Craig Leslie,Consumer,Consumer,1/6/2009 12:00:00 AM,1/6/2009 12:00:00 AM,14274,14274,Not Specified,Not Specified,Office Supplies,Technology,Medium Box,Small Box,Eldon Portable Mobile Manager,Accessory35,Storage & Organization,Telephones and Communication,Saskachewan,Saskachewan,Prarie,Prarie,2002,2003,1/8/2009 12:00:00 AM,1/7/2009 12:00:00 AM,Express Air,Regular Air,,,,0.01,0.03,0,1,1,46,2,0.58,0.55,-40.72,-164.043,1413.89,61.7185,13.99,1.1,28.28,35.99
Tracy Collins,Tracy Collins,Consumer,Consumer,1/6/2009 12:00:00 AM,1/6/2009 12:00:00 AM,16961,16961,Not Specified,Not Specified,Office Supplies,Technology,Small Box,Small Pack,Xerox 19,BASF Silver 74 Minute CD-R,Paper,Computer Peripherals,New Brunswick,New Brunswick,Atlantic,Atlantic,2351,2350,1/8/2009 12:00:00 AM,1/7/2009 12:00:00 AM,Regular Air,Regular Air,,,,0.01,0.06,0,1,1,34,27,0.4,0.51,433.24,-37.08,1089.59,46.86,5.09,1.99,30.98,1.7
Craig Leslie,Craig Leslie,Consumer,Consumer,1/6/2009 12:00:00 AM,1/6/2009 12:00:00 AM,14274,14274,Not Specified,Not Specified,Technology,Furniture,Small Box,Jumbo Drum,Accessory35,Novimex Swivel Fabric Task Chair,Telephones and Communication,Chairs & Chairmats,Saskachewan,Saskachewan,Prarie,Prarie,2003,2001,1/7/2009 12:00:00 AM,1/8/2009 12:00:00 AM,Regular Air,Delivery Truck,,,,0.03,0.01,0,1,1,2,23,0.55,0.74,-164.043,112.44,61.7185,3674.08,1.1,30,35.99,150.98
